grief, pena dolor afliccion;
mangling, mezclar confundir;
nightmare,pesadilla tormento agonia;
throw, tirar lanzar echar (pas threw);
nuts and bolts, tuercas y tornillos;
forethought, prevision premeditacion;
grin, sonrisa sonreir;
primed, preparado;
prime, excelente supremo;
rogue, granuja chanta canalla;
glossing, glosar;
a cue to, una señal para/ una pista para;
clue, pista idea clave;
brush, cepillo pincel cepillar;
stems, tallos proviene surge;
reckon, supongo parece;
deem, considerar estimar juzgar

